roberta_pca_1,roberta_pca_2,roberta_pca_3,roberta_pca_4,roberta_pca_5,roberta_pca_6,roberta_pca_7,roberta_pca_8,roberta_pca_9,roberta_pca_10,roberta_pca_11,roberta_pca_12,roberta_pca_13,roberta_pca_14,roberta_pca_15,roberta_pca_16,roberta_pca_17,roberta_pca_18,roberta_pca_19,roberta_pca_20,roberta_pca_21,roberta_pca_22,roberta_pca_23,roberta_pca_24,roberta_pca_25,roberta_pca_26,roberta_pca_27,roberta_pca_28,roberta_pca_29,roberta_pca_30,roberta_pca_31,roberta_pca_32
-0.7885275,-0.13040352,0.055527955,0.090277195,-0.14674294,0.20958123,-0.054600477,0.18909405,-0.014155865,-0.030279875,0.16252244,-0.06412053,-0.0063861907,0.1265545,-0.033161342,-0.044452727,0.10897595,-0.13435358,-0.083118975,-0.051401496,0.094747424,-0.15029478,0.115574956,0.00052571297,0.009037018,-0.15842348,0.0039830506,-0.00847134,-0.0083171725,0.072434306,-0.026573181,0.11983997
0.60802746,0.05470705,-0.15996706,0.10563755,0.12994325,-0.3295638,0.100235224,0.0388702,0.018406153,0.14035487,-0.06936741,-0.04225421,-0.025072962,0.058808014,0.12979563,-0.08628851,-0.01307255,0.05348459,-0.11000246,0.050490677,-0.054221153,-0.110905886,0.014707804,0.013476849,-0.041666746,-0.01933831,0.0074038804,-0.02094239,0.01367107,0.07571089,0.080180764,0.04427141
0.4262352,0.26045895,0.13749959,-0.13345766,-0.075401306,-0.109831125,-0.026482105,0.026444659,0.09759307,0.027926207,0.06762111,-0.014514089,-0.15858698,-0.064526364,-0.051600873,0.0004762411,0.011534274,0.045580834,0.008802354,-0.0012767315,0.0041291714,-0.05551362,0.10608637,-0.02564025,-0.0071959496,-0.017149508,-0.015932739,0.004642427,0.061873257,0.025417686,-0.01674378,-0.0018540621
0.8188629,0.060020924,-0.30875963,-0.04253483,-0.09250724,-0.13166115,-0.12843299,0.068281546,-0.018169641,-0.07106686,0.16802466,0.12933815,0.08708799,-0.10845195,-0.106729686,0.032118917,0.07668817,-0.05664727,-0.008460939,-0.12037349,-0.1476708,-0.07526672,-0.15012252,-0.06531358,-0.039273977,-0.06880206,0.078894556,-0.0038264692,0.073768765,0.04457581,-0.07583463,-0.047003865
-0.47052097,0.024411201,0.026931629,0.15410137,0.2481128,-0.21849075,0.0047283173,0.07636024,-0.034825206,-0.2226839,0.10376203,0.080274224,-0.03167802,0.008858666,0.038961157,0.018296957,0.023020566,-0.05689907,0.0025447607,-0.024445891,-0.009878516,-0.008489013,-0.04177928,-0.014977932,-0.13287544,-0.012671649,-0.07670128,-0.05223465,-0.024892569,-0.09102917,-0.022834301,0.07302153
0.85058403,0.015097618,0.1717443,0.4631338,-0.16785443,0.11686036,0.23343158,-0.07696839,-0.023141384,0.09328103,-0.1023314,-0.015314937,-0.014526099,0.046505496,0.03634967,0.116172075,-0.04407245,-0.030890614,-0.15785688,-0.038579702,-0.017124772,-0.002623558,0.06405914,0.050729513,0.03761816,0.07716578,-0.009299159,0.06072843,0.009118199,0.005371809,-0.02086103,0.032626092
-1.1792936,-0.06079483,0.072936624,0.042023182,-0.14791727,0.09621081,0.05924797,-0.20603138,-0.0685848,0.052885532,-0.081582546,-0.07128775,0.15500167,-0.056754038,0.022753254,0.032708943,0.0762161,0.038401216,-0.08597994,0.037879765,-0.05524516,0.02717495,0.032301307,-0.026048899,-0.019022942,-0.030967832,0.0041745007,0.0250462,-0.07003695,0.004596591,-0.00024962425,0.008639216
0.41609287,0.24376869,0.036569834,-0.09459877,-0.070293665,-0.13203046,0.12810493,-0.030783117,0.16041303,-0.1650064,-0.08913207,0.07387662,0.09813398,-0.04478796,0.10804279,0.06115347,0.001045227,6.431341e-05,0.050056696,-0.007078171,-0.024882913,-0.14063263,0.023720622,0.01239419,-0.066589355,-0.008788288,0.036704868,-0.029494226,-0.0069718063,-0.043646455,0.011734605,-0.0552907
0.40146255,-0.27109337,0.1417602,0.12131643,-0.09316695,0.29965338,0.22358298,-0.104457825,-0.028953314,-0.018512964,-0.03446579,-0.105202675,-0.12816879,0.044348583,-0.08104582,-0.011760175,0.039627433,0.09371838,0.07395154,0.02670008,-0.024683237,0.009825587,-0.08029044,-0.05872464,0.010505199,-0.017860949,-0.081715405,0.02650255,0.1173549,-0.018519282,0.00024592876,0.005617678
-0.036605835,0.33912992,-0.2556064,-0.020163536,0.042611003,0.028187633,0.06630969,-0.022724241,0.19172597,0.17135167,-0.13160014,-0.07544911,0.0079648495,0.09745528,-0.090697184,0.052470922,-0.058588743,0.0147155225,0.06514156,0.071137965,0.023553193,-0.020616174,-0.0067585707,-0.01594758,0.07114363,0.037644386,-0.043180704,0.0076562464,-0.0236409,-0.06770921,-0.049989223,0.016021013
0.64590645,0.2772193,0.2323353,0.42594528,-0.13764298,0.22420207,0.07416105,0.088055745,0.14169216,0.1285491,0.046741724,-0.009112,0.13893612,-0.053668365,-0.004334867,0.029416025,-0.027603984,-0.042043597,-0.010895193,0.033606887,-0.019521058,-0.0057758093,-0.04248488,0.17567825,0.036714315,-0.020924628,-0.012376666,0.051724732,-0.022996753,0.044135332,0.0030113459,0.0121744275
-1.0481663,0.1860857,-0.05002284,-0.021321774,0.11433935,-0.2110588,0.08512449,0.06700085,-0.014260292,0.07131386,-0.16984963,0.0018030405,-0.014883488,0.00078465044,-0.0006291419,0.08721155,0.01978612,0.08963236,-5.2690506e-05,0.10296768,0.050204933,0.00052058697,-0.04664576,-0.020808458,0.08173442,0.0026486516,0.049319744,-0.014177322,0.060486227,0.05043757,-0.022817492,-0.02423501
-0.6581354,-0.048502445,0.23461094,-0.022034645,-0.26601982,-0.16174611,0.016164303,0.079633996,0.15137959,-0.15131164,-0.017101765,-0.031530738,-0.12926441,0.066158965,0.07702531,0.10852772,-0.031134307,0.10306981,-0.056744874,0.03292328,-0.13342583,-0.10844201,0.046608686,-0.11915517,-0.08206105,-0.015984416,-0.002719164,-0.0038762093,0.077374935,0.0068849325,-0.03499055,-0.012910843
-0.9434366,-0.11119318,0.01736024,0.2443409,0.07931566,0.05004838,-0.20604682,-0.045037195,-0.12455189,-0.20124412,-0.15905237,-0.0070199966,-0.12926993,0.015730128,0.1329471,-0.10847825,0.031494975,0.009751439,-0.07657111,-0.022264719,0.05486554,0.009565353,-0.01139605,-0.009243965,0.035158396,-0.058303475,0.055039614,0.033775896,-0.035416156,0.03949642,-0.017361283,-0.02847892
-0.4607582,-0.016249657,-0.026351929,0.14567995,0.1142652,-0.2256665,-0.0072677135,-0.05872996,-0.13650823,-0.25867963,0.06390524,0.009589553,-0.03240469,-0.057318762,0.07431404,0.007426083,0.014170527,0.061187714,0.04630947,0.006257534,0.014366031,0.029319048,-0.07883334,0.005395174,0.028573275,0.1271562,0.0053103566,0.034982145,0.0074147284,0.059510708,-0.043538213,-0.112992406
