roberta_pca_1,roberta_pca_2,roberta_pca_3,roberta_pca_4,roberta_pca_5,roberta_pca_6,roberta_pca_7,roberta_pca_8,roberta_pca_9,roberta_pca_10,roberta_pca_11,roberta_pca_12,roberta_pca_13,roberta_pca_14,roberta_pca_15,roberta_pca_16,roberta_pca_17,roberta_pca_18,roberta_pca_19,roberta_pca_20,roberta_pca_21,roberta_pca_22,roberta_pca_23,roberta_pca_24,roberta_pca_25,roberta_pca_26,roberta_pca_27,roberta_pca_28,roberta_pca_29,roberta_pca_30,roberta_pca_31,roberta_pca_32
0.040519714,-0.7769332,0.22196537,-0.13300347,-0.19875193,0.067596495,0.01882267,-0.1306385,-0.1767267,0.24870825,0.034425974,0.09969619,0.1764072,0.0035053492,0.022483468,-0.033487797,0.002469778,0.07898092,-0.023985207,0.04594399,0.03343886,0.019737124,-0.03548169,-0.16466153,0.07280892,0.0734961,-0.08855677,-0.00071406364,0.025037289,-0.0100592375,0.13347706,-0.015016824
0.3962145,0.16324043,0.04684099,-0.064095974,0.08424616,-0.28486115,0.22022033,-0.076156795,-0.11217904,-0.111359835,-0.14888728,-0.13301316,0.053142667,-0.07722479,0.07718742,-0.07899365,-0.07288313,0.049013138,-0.0007811785,-0.0019136667,-0.0060715675,-0.019760251,-0.016473532,-0.07825112,-0.049693264,-0.02778554,-0.0694921,-0.045978487,-0.09331584,-0.034380794,0.015465379,-0.07948643
-1.2197771,0.12490082,-0.12566723,-0.01833272,0.11049461,0.10488832,-0.01271081,-0.13966623,-0.052042127,0.03418851,0.012312293,-0.04144679,0.07774851,-0.03412795,-0.045927644,0.1040605,-0.019999385,-0.10219365,0.08840114,0.016780302,0.08331323,-0.015337706,-0.031187057,0.0033348799,0.0030743405,0.10384178,-0.018952012,-0.011263311,0.056619644,-0.017569184,-0.024158716,-0.0059702992
-1.0195637,-0.021208763,-0.33956826,-0.08478522,0.058591127,-0.101858675,0.1778028,-0.015075266,-0.16150677,-0.10448885,0.07405424,-0.078249395,-0.0655819,0.111294806,-0.104607105,-0.11911303,0.0025094151,0.13682032,-0.008208573,-0.03745058,0.04093796,0.024468899,-0.012120724,-0.034854293,0.16691843,0.10742676,0.04655838,0.099545896,-0.07774961,-0.012245417,0.055100143,-0.018295467
-0.50005436,-0.031043053,-0.275706,-0.023139715,0.06620431,0.04467684,-0.0015227795,0.10852334,0.059823513,0.13722205,-0.10580909,0.08245641,0.06464303,-0.080158174,0.0012031794,0.07304445,0.028546035,0.06476128,0.13879693,0.10347907,-0.0402115,0.04775679,0.039458513,0.048179865,0.018471885,0.043177128,-0.052452445,-0.123346865,0.060706973,-0.024422169,-0.045852244,-0.0039370656
-1.3824434,0.1404581,0.2467693,0.15163207,-0.24900818,0.18995011,0.11997914,-0.13254261,0.11860442,0.033238888,0.03012824,0.022201955,0.007368773,-0.15060481,0.08787215,-0.068929195,0.036284864,-0.014377594,-0.073182166,-0.04231955,0.013866782,0.017011523,0.04514599,-0.01310575,-0.04677006,0.00799036,0.0033925772,0.041742265,-0.011512399,-0.052531958,0.010991633,0.026058584
-0.24555779,0.05753517,-0.03875125,-0.15172005,-0.086934805,0.08517587,-0.18601584,0.19427937,0.08789253,-0.013245106,-0.19569194,-0.050988987,-0.07002957,-0.048083335,-0.04470253,0.048028976,0.018920958,0.068469286,0.04841888,-0.17149234,0.0009043813,-0.05671823,-0.083827496,-0.00031530857,0.09720865,-0.1117363,-0.03178811,0.04832053,-0.02575326,0.0211761,0.09008312,0.052108645
-0.33598614,0.26278925,-0.27347466,-0.16723537,0.13833785,0.12933666,-0.12235308,0.06173271,-0.072871685,-0.0750041,0.07638776,0.075338155,0.2176497,0.055773795,0.13913345,-0.026203424,-0.0436334,-0.058663845,-0.049129188,-0.020933747,0.11142951,-0.0018570423,0.08612156,0.14467621,-0.03593882,-0.014953613,0.009188771,-0.026592195,-0.030472279,-0.0693841,0.09733555,-0.062250197
0.39764977,-0.10820484,-0.0029942743,-0.13546467,0.21612024,0.07734138,0.023928165,-0.2481797,-0.07406783,-0.02126193,-0.10222089,0.062279254,-0.04131955,0.06327173,0.057273984,-0.04425156,0.028878272,-0.083376884,-0.0053452253,0.06351249,0.05204779,-0.04418707,-0.11511421,-0.033958435,0.05497398,0.022892118,0.074732184,-0.048240304,0.07065666,0.02173531,-0.06152433,-0.025485456
0.6047592,0.11395788,0.23189044,0.1576879,0.07991719,0.16665065,-0.14231181,-0.11454609,-0.05085051,-0.06511855,-0.22986984,-0.024869785,-0.07109749,0.076426834,0.05549121,0.058695614,-0.034135938,-0.025933266,0.015658796,0.098908976,0.041300893,0.06419563,-0.05902791,0.062243104,0.02769848,-0.04159093,-0.010632753,-0.028468966,0.0026979446,-0.027701497,-0.008026123,0.03923434
0.59922314,0.15649748,-0.07503388,0.01975131,-0.16244316,0.16402203,0.12833261,-0.099375844,-0.103235364,0.08194351,-0.01984489,0.017200172,0.0110832155,-0.1374853,-0.022143483,0.011958718,0.10994628,0.08455825,-0.07598251,-0.02145131,0.08594829,-0.06095624,-0.020914078,0.019803524,0.003210105,0.008383036,-0.0717715,0.049216807,0.031226873,-0.074578166,-0.008398473,-0.03282696
0.6580429,-0.13771296,-0.2035017,0.17761183,-0.036393166,0.087450385,0.021057844,0.017356813,-0.22978818,-0.03734231,0.04401326,0.1579091,0.05869077,0.09047225,-0.060371518,-0.08726907,-0.18848127,0.05792916,-0.029906392,-0.060520083,0.24045575,-0.037907958,-0.01799941,-0.032395005,-0.013500422,-0.020829797,-0.08395958,-0.08493996,0.04224229,-0.016536713,-0.00082063675,-0.016881406
0.042001724,0.12732315,0.040477213,0.30660272,0.121769905,-0.03947431,-0.09400511,0.05750805,-0.015982628,0.057094574,-0.029332638,-0.060457617,-0.17726187,-0.032918096,0.11005235,-0.098272204,0.125696,-0.06524813,-0.018511355,0.01926823,0.067305446,0.08171928,0.06991863,0.03624618,-0.059638716,0.058704734,-0.013937473,0.0055215955,0.051988125,0.0075457096,0.0077284575,0.10559863
